iter,reward,queue_length,delay
1,-217300,311,2723
2,-230000,302,2647
3,-228900,311,2815
4,-256700,301,2865
5,-265700,297,3091
6,-268100,291,3390
7,-269900,305,3398
8,-258000,293,3002
9,-230400,296,2942
10,-235700,299,3078
11,-250600,287,3004
12,-257000,284,2849
13,-261800,290,2998
14,-264000,285,3071
15,-272600,279,2710
16,-274800,271,3084
17,-276600,275,3435
18,-279400,279,3292
19,-284800,277,2971
20,-286700,284,3149
21,-282300,289,3056
22,-287000,293,3350
23,-279400,292,3196
24,-276900,285,3229
25,-278200,286,2894
26,-279300,281,2993
27,-274600,278,3077
28,-282300,273,3091
29,-245500,271,2713
30,-262600,273,2961
31,-258100,275,2958
32,-237900,270,2243
33,-239100,274,2899
34,-227400,271,2501
35,-212700,276,2387
36,-215600,277,2469
37,-223600,278,2516
38,-220000,281,3025
39,-212200,286,2925
40,-210100,284,2373
41,-191900,283,2456
42,-198300,274,2506
43,-179900,271,2294
44,-185700,284,2390
45,-169300,269,2205
46,-175100,279,2279
47,-158700,274,2056
48,-152100,285,2032
49,-144900,281,1950
50,-143400,279,1896
51,-140900,270,1831
52,-130700,268,1688
53,-142200,261,1892
54,-115700,264,1657
55,-127500,271,1785
56,-119200,268,1810
57,-109600,263,1582
58,-108100,264,1495
59,-103900,260,1500
60,-95900,263,1536
61,-75200,264,1439
62,-78800,269,1305
63,-72300,261,1254
64,-72600,265,1381
65,-83800,268,1368
66,-63200,264,1205
67,-65700,263,1373
68,-59700,271,1273
69,-62600,275,1290
70,-57100,263,1384
71,-50400,264,1366
72,-53800,268,1422
73,-60900,271,1791
74,-55700,275,1819
75,-50400,264,1712
76,-49900,259,1578
77,-45000,268,1553
78,-45900,264,1328
79,-40300,287,1352
80,-32800,267,1369
81,-29900,271,1387
82,-25000,275,1383
83,-33800,274,1571
84,-39000,273,1475
85,-30400,268,1396
86,-32600,259,1332
87,-29200,254,1332
88,-25700,258,1344
89,-27400,261,1264
90,-45700,263,1302
91,-30300,274,1282
92,1100,281,1011
93,-31800,288,1305
94,-39400,285,1382
95,-25700,274,1327
96,-29300,276,1442
97,-23700,274,1272
98,-25000,264,1311
99,-29900,269,1368
100,-32600,258,1203
101,-51300,263,1495
102,-42700,262,1214
103,-37000,267,953
104,-45700,274,1118
105,-45100,276,925
106,-40900,291,774
107,-35600,281,604
108,-27900,285,329
109,-28400,286,402
110,-30100,294,455
111,-32600,293,442
112,-35700,299,501
113,-47300,301,634
114,-38300,315,510
115,-32300,317,454
116,-24900,319,303
117,-28800,309,367
118,-32200,322,427
119,-24300,321,359
120,-20000,305,359
121,-22900,306,293
122,-21100,322,303
123,-17000,319,293
124,-15400,318,241
125,-23400,309,350
126,-29800,286,542
127,-26300,298,552
128,-25400,306,624
129,-29800,315,655
130,-30100,294,701
131,-24700,296,628
132,-26900,293,584
133,-24500,284,629
134,-21200,286,555
135,-26500,291,684
136,-42900,287,812
137,-17300,273,623
138,-15600,264,600
139,-19800,254,723
140,-20100,259,667
141,-22500,247,853
142,-24700,268,874
143,-19600,248,921
144,-15400,235,855
145,-18700,264,956
146,-13500,254,940
147,-16400,259,914
148,-12800,246,888
149,-9900,243,841
150,-9400,221,714
151,-12600,268,699
152,-14700,267,730
153,-20100,244,859
154,-18600,254,761
155,-13500,261,782
156,10400,259,618
157,-9600,258,718
158,-4700,254,717
159,-4600,243,666
160,-4200,246,642
161,-10800,251,769
162,-16800,255,825
163,-9400,259,765
164,-12600,244,779
165,-13500,253,743
166,-25000,255,870
167,-9900,259,757
168,-5600,251,783
169,-3200,250,749
170,-100,244,778
171,4700,243,704
172,4600,251,715
173,5200,256,731
174,8400,261,668
175,3100,263,691
176,-1400,259,703
177,8600,254,635
178,5700,253,588
179,10400,250,592
180,10600,258,614
181,10900,246,572
182,14500,245,543
183,13200,244,563
184,13400,254,563
185,12100,256,578
186,12500,251,582
187,13400,244,581
188,13600,243,575
189,18500,251,532
190,16400,252,547
191,13200,258,579
192,14200,249,564
193,13500,241,570
194,14500,250,578
195,14200,242,588
196,14600,249,569
197,14800,246,563
198,43900,257,272
199,13700,269,576
200,14500,267,565
